"record_id","dataset_id","parent_event_id","eventid","sector_id","station_number","station_id","event_datetime","decimal_latitude","verbatim_longitude","decimal_longitude","geodetic_datum","measurement_id_ctd","ctd_cast","depth_m","benne_remplissage","sampling_effort_m2","material_sample_id_mo","material_sample_id_granulo","material_sample_id_biodiv","nbr_pots_biodiv","material_sample_id_pigments_1","material_sample_id_pigments_2","material_sample_id_pigments_3","replicats_pigments_1","replicats_pigments_2","replicats_pigments_3","unique_tube_pigments_1","unique_tube_pigments_2","unique_tube_pigments_3","material_sample_id_selenoneine","comments","terrain_complete"
1,," -2023"," -2023-baie-3","baie",3,"baie-3",,"48.35625","70.79332"," -70.79332",," -2023-baie-3-ctd",,,,"0.108"," -2023-baie-3-mo"," -2023-baie-3-granulo"," -2023-baie-3-biodiv",," -2023-baie-3-pigments-1"," -2023-baie-3-pigments-2"," -2023-baie-3-pigments-3",,,,,,,,,0
2,," -2023"," -2023-baie-7","baie",7,"baie-7",,"48.36616","70.75726"," -70.75726",," -2023-baie-7-ctd",,,,"0.108"," -2023-baie-7-mo"," -2023-baie-7-granulo"," -2023-baie-7-biodiv",," -2023-baie-7-pigments-1"," -2023-baie-7-pigments-2"," -2023-baie-7-pigments-3",,,,,,,,,0
3,," -2023"," -2023-baie-12","baie",12,"baie-12",,"48.36516","70.76196"," -70.76196",," -2023-baie-12-ctd",,,,"0.108"," -2023-baie-12-mo"," -2023-baie-12-granulo"," -2023-baie-12-biodiv",," -2023-baie-12-pigments-1"," -2023-baie-12-pigments-2"," -2023-baie-12-pigments-3",,,,,,,,,0
4,," -2023"," -2023-baie-13","baie",13,"baie-13",,"48.34561","70.78345"," -70.78345",," -2023-baie-13-ctd",,,,"0.108"," -2023-baie-13-mo"," -2023-baie-13-granulo"," -2023-baie-13-biodiv",," -2023-baie-13-pigments-1"," -2023-baie-13-pigments-2"," -2023-baie-13-pigments-3",,,,,,,,,0
5,," -2023"," -2023-baie-14","baie",14,"baie-14",,"48.36525","70.7728"," -70.7728",," -2023-baie-14-ctd",,,,"0.108"," -2023-baie-14-mo"," -2023-baie-14-granulo"," -2023-baie-14-biodiv",," -2023-baie-14-pigments-1"," -2023-baie-14-pigments-2"," -2023-baie-14-pigments-3",,,,,,,,,0
6,," -2023"," -2023-baie-17","baie",17,"baie-17",,"48.37115","70.77072"," -70.77072",," -2023-baie-17-ctd",,,,"0.108"," -2023-baie-17-mo"," -2023-baie-17-granulo"," -2023-baie-17-biodiv",," -2023-baie-17-pigments-1"," -2023-baie-17-pigments-2"," -2023-baie-17-pigments-3",,,,,,,,,0
7,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_inferieur-3","bassin_inferieur",3,"bassin_inferieur-3","2023-07-05 06:56:52","48.14168","69.76231"," -69.76231","EPSG:4326","sag-endo-2023-bassin_inferieur-3-ctd",,64,0,"0.108","sag-endo-2023-bassin_inferieur-3-mo","sag-endo-2023-bassin_inferieur-3-granulo","sag-endo-2023-bassin_inferieur-3-biodiv",,"sag-endo-2023-bassin_inferieur-3-pigments-1","sag-endo-2023-bassin_inferieur-3-pigments-2","sag-endo-2023-bassin_inferieur-3-pigments-3",1,2,3,,,,,"Pas de sediments. Remontee de hydro et balances. Roches probablement. Essai 2 fois. Heure non exact. Pas de ctd.  ",0
8,," -2023"," -2023-bassin_inferieur-4","bassin_inferieur",4,"bassin_inferieur-4",,"48.13364","69.72315"," -69.72315",," -2023-bassin_inferieur-4-ctd",,,,"0.108"," -2023-bassin_inferieur-4-mo"," -2023-bassin_inferieur-4-granulo"," -2023-bassin_inferieur-4-biodiv",," -2023-bassin_inferieur-4-pigments-1"," -2023-bassin_inferieur-4-pigments-2"," -2023-bassin_inferieur-4-pigments-3",,,,,,,,,0
9,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_inferieur-5","bassin_inferieur",5,"bassin_inferieur-5","2023-07-05 13:22:15","48.18412","69.87833"," -69.87833","EPSG:4326","sag-endo-2023-bassin_inferieur-5-ctd",,70,75,"0.108","sag-endo-2023-bassin_inferieur-5-mo","sag-endo-2023-bassin_inferieur-5-granulo","sag-endo-2023-bassin_inferieur-5-biodiv",,"sag-endo-2023-bassin_inferieur-5-pigments-1","sag-endo-2023-bassin_inferieur-5-pigments-2","sag-endo-2023-bassin_inferieur-5-pigments-3",1,2,3,4,5,6,,,0
10,," -2023"," -2023-bassin_inferieur-6","bassin_inferieur",6,"bassin_inferieur-6",,"48.14743","69.83767"," -69.83767",," -2023-bassin_inferieur-6-ctd",,,,"0.108"," -2023-bassin_inferieur-6-mo"," -2023-bassin_inferieur-6-granulo"," -2023-bassin_inferieur-6-biodiv",," -2023-bassin_inferieur-6-pigments-1"," -2023-bassin_inferieur-6-pigments-2"," -2023-bassin_inferieur-6-pigments-3",,,,,,,,,0
11,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_inferieur-7","bassin_inferieur",7,"bassin_inferieur-7","2023-07-05 14:19:55","48.1688","69.86966"," -69.86966","EPSG:4326","sag-endo-2023-bassin_inferieur-7-ctd",,87,50,"0.108","sag-endo-2023-bassin_inferieur-7-mo","sag-endo-2023-bassin_inferieur-7-granulo","sag-endo-2023-bassin_inferieur-7-biodiv",,"sag-endo-2023-bassin_inferieur-7-pigments-1","sag-endo-2023-bassin_inferieur-7-pigments-2","sag-endo-2023-bassin_inferieur-7-pigments-3",1,2,3,7,8,9,,,0
12,," -2023"," -2023-bassin_inferieur-9","bassin_inferieur",9,"bassin_inferieur-9",,"48.20057","69.8732"," -69.8732",," -2023-bassin_inferieur-9-ctd",,,,"0.108"," -2023-bassin_inferieur-9-mo"," -2023-bassin_inferieur-9-granulo"," -2023-bassin_inferieur-9-biodiv",," -2023-bassin_inferieur-9-pigments-1"," -2023-bassin_inferieur-9-pigments-2"," -2023-bassin_inferieur-9-pigments-3",,,,,,,,,0
13,"sag-endo","sag-endo-2023","sag-endo-2023-bassin_inferieur-10","bassin_inferieur",10,"bassin_inferieur-10","2023-07-05 12:39:08","48.19806","69.87009"," -69.87009","EPSG:4326","sag-endo-2023-bassin_inferieur-10-ctd",,95,50,"0.108","sag-endo-2023-bassin_inferieur-10-mo","sag-endo-2023-bassin_inferieur-10-granulo","sag-endo-2023-bassin_inferieur-10-biodiv",,"sag-endo-2023-bassin_inferieur-10-pigments-1","sag-endo-2023-bassin_inferieur-10-pigments-2","sag-endo-2023-bassin_inferieur-10-pigments-3",1,2,3,1,2,3,"Na","Tumb up",0
